"","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest"
"X4868_7",0.5,0.4554,0.5024,0.047,0.5494,0.094,0.0935,0.1711,-0.098,0.1726
"X22259_21",0,0.0779,0.0774,-5e-04,0.0769,-0.001,-0.0063,-0.0127,1,-0.0011
"X4879_25",0.3176,0.318,0.3119,-0.006,0.3059,-0.0121,-0.0194,-0.0395,0.001,-0.0177
"X18901_13",0.0882,0.133,0.14,0.007,0.1471,0.0141,0.0503,0.0957,0.3365,0.0162
"X4895_9",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X18905_34",0.1667,0.2402,0.4534,0.2132,0.6667,0.4265,0.4703,0.6397,0.3061,0.5613
"X4917_11",0.4583,0.4154,0.4751,0.0596,0.5347,0.1193,0.1256,0.2231,-0.1033,0.2041
"X5012_26",0.1278,0.1215,0.1219,4e-04,0.1222,7e-04,0.003,0.006,-0.0518,8e-04
"X5018_20",0.2978,0.3009,0.3361,0.0352,0.3713,0.0704,0.1047,0.1895,0.0105,0.1007
"X4928_15",0.05,0.2039,0.2269,0.0231,0.25,0.0461,0.1016,0.1844,0.7548,0.0579
"X4945_10",0.2167,0.193,0.1965,0.0035,0.2,0.007,0.0179,0.0351,-0.1228,0.0087
"X4975_41",0.2944,0.3554,0.4166,0.0612,0.4778,0.1224,0.1469,0.2561,0.1716,0.1898
"X4974_34",0.25,0.2066,0.2222,0.0155,0.2377,0.031,0.0698,0.1305,-0.2098,0.0391
"X4981_10",0.25,0.431,0.5124,0.0814,0.5938,0.1627,0.1588,0.274,0.42,0.286
"X4987_29",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5000_37",0.0312,0.0911,0.0924,0.0013,0.0937,0.0027,0.0144,0.0283,0.6569,0.0029
"X5001_31",0.125,0.114,0.1195,0.0055,0.125,0.011,0.0459,0.0878,-0.0962,0.0124
"X5005_23",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X18940_39",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X18917_41",0.1562,0.1366,0.1464,0.0098,0.1562,0.0197,0.0672,0.1259,-0.144,0.0228
"X4934_15",0.2222,0.2431,0.253,0.0099,0.263,0.0199,0.0393,0.0756,0.0858,0.0263
"X4946_39",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X4948_35",0.2389,0.5204,0.5074,-0.013,0.4944,-0.026,-0.0256,-0.0525,0.541,-0.0542
"X4954_22",0,0.1358,0.1393,0.0035,0.1429,0.0071,0.0254,0.0495,1,0.0082
"X4960_16",0.1,0.256,0.328,0.072,0.4,0.144,0.2195,0.3599,0.6094,0.1935
"X4962_35",0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
"X4963_11",0.3278,0.3054,0.3777,0.0723,0.45,0.1446,0.1914,0.3213,-0.0732,0.2082
"X4966_19",0.0714,0.1808,0.1975,0.0167,0.2143,0.0335,0.0847,0.1562,0.6049,0.0409
"X4967_22",0.0833,0.0815,0.0824,9e-04,0.0833,0.0019,0.0113,0.0223,-0.0228,0.002
"X18937_29",0.1979,0.2434,0.4759,0.2325,0.7083,0.4649,0.4885,0.6563,0.187,0.6145
"X4982_21",0.0556,0.1509,0.4921,0.3412,0.8333,0.6825,0.6934,0.819,0.6317,0.8037
"X4986_34",0.1778,0.2902,0.3715,0.0813,0.4528,0.1626,0.2189,0.3592,0.3873,0.2291
"X5021_22",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X18946_18",0,0.0647,0.0636,-0.0011,0.0625,-0.0022,-0.0169,-0.0345,1,-0.0023
"X18947_39",0.1071,0.0999,0.1035,0.0036,0.1071,0.0073,0.035,0.0677,-0.0726,0.0081
"X5025_16",0,0.1291,0.1312,0.0021,0.1333,0.0043,0.0162,0.0319,1,0.0049
"X5026_19",0.5,0.4514,0.4632,0.0118,0.475,0.0236,0.0255,0.0498,-0.1078,0.0431
"X5031_36",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5033_40",0.0312,0.0317,0.0315,-2e-04,0.0313,-4e-04,-0.0066,-0.0133,0.0131,-4e-04
"X5036_23",0.2222,0.2323,0.2828,0.0505,0.3333,0.101,0.1786,0.303,0.0435,0.1316
"X5041_34",0.2833,0.2898,0.2949,0.0051,0.3,0.0102,0.0172,0.0338,0.0225,0.0143
"X5072_16",0.3333,0.259,0.3795,0.1205,0.5,0.241,0.3176,0.4821,-0.2871,0.3253
"X5053_38",0.0357,0.103,0.1051,0.0021,0.1071,0.0042,0.0199,0.0391,0.6531,0.0047
"X5054_28",0.1111,0.1459,0.1563,0.0104,0.1667,0.0207,0.0664,0.1245,0.2385,0.0243
"X5058_8",0.1111,0.1459,0.1563,0.0104,0.1667,0.0207,0.0664,0.1245,0.2385,0.0243
"X5063_13",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X18972_15",0.1111,0.2526,0.2559,0.0033,0.2593,0.0067,0.0131,0.0258,0.5601,0.0089
"X5083_37",0.1429,0.14,0.1363,-0.0037,0.1327,-0.0073,-0.0269,-0.0554,-0.0204,-0.0085
"X5120_37",0.1429,0.14,0.1363,-0.0037,0.1327,-0.0073,-0.0269,-0.0554,-0.0204,-0.0085
"X5122_29",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X5134_13",0.0333,0.0336,0.0335,-2e-04,0.0333,-3e-04,-0.0045,-0.0091,0.009,-3e-04
"X18967_34",0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
"X18968_34",0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
"X5152_26",0.125,0.1603,0.1739,0.0136,0.1875,0.0272,0.0782,0.1451,0.2202,0.0324
"X5097_39",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X5102_22",0.1944,0.1616,0.178,0.0164,0.1944,0.0328,0.0921,0.1687,-0.2029,0.0391
"X5109_25",0.1993,0.4123,0.4071,-0.0052,0.402,-0.0103,-0.0127,-0.0257,0.5165,-0.0176
"X5111_21",0.1875,0.1587,0.1731,0.0144,0.1875,0.0288,0.0831,0.1535,-0.1813,0.0342
"X5113_18",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X5114_37",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5170_21",0.3693,0.3628,0.3726,0.0098,0.3824,0.0196,0.0263,0.0512,-0.0179,0.0307
"X5169_29",0.2589,0.3599,0.363,0.0031,0.3661,0.0061,0.0085,0.0168,0.2806,0.0096
"X5171_6",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X5175_41",0.3471,0.3928,0.4464,0.0536,0.5,0.1072,0.12,0.2143,0.1166,0.1765
"X5190_37",0.1429,0.14,0.1363,-0.0037,0.1327,-0.0073,-0.0269,-0.0554,-0.0204,-0.0085
"X5191_20",0.2333,0.2112,0.2098,-0.0015,0.2083,-0.0029,-0.0069,-0.014,-0.1046,-0.0037
"X5157_22",0.0938,0.0886,0.0912,0.0026,0.0938,0.0052,0.0283,0.0551,-0.0584,0.0057
"X5162_7",0.1111,0.103,0.107,0.0041,0.1111,0.0081,0.038,0.0732,-0.0789,0.0091
"X5228_20",0.1056,0.1039,0.102,-0.002,0.1,-0.0039,-0.0194,-0.0395,-0.0155,-0.0044
"X5222_38",0.0556,0.1483,0.1575,0.0092,0.1667,0.0184,0.0584,0.1104,0.6253,0.0216
"X5235_19",0.1765,0.1503,0.1634,0.0131,0.1765,0.0262,0.0802,0.1486,-0.1745,0.0309
"X19005_21",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X5236_34",0.1389,0.1646,0.1795,0.0149,0.1944,0.0299,0.0832,0.1537,0.156,0.0358
"X19008_26",0.1588,0.1511,0.1491,-0.002,0.1471,-0.004,-0.0134,-0.0272,-0.0514,-0.0047
"X5244_10",0.2222,0.1786,0.2004,0.0218,0.2222,0.0437,0.1089,0.1964,-0.2444,0.0531
"X5246_38",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X5248_11",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X5249_12",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X5253_24",0.0667,0.0648,0.0658,9e-04,0.0667,0.0018,0.0138,0.0273,-0.028,0.0019
"X5203_22",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5204_39",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X5206_33",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X5213_11",0,0.0679,0.0673,-6e-04,0.0667,-0.0012,-0.009,-0.0182,1,-0.0013
"X5218_41",0.3147,0.2495,0.2688,0.0194,0.2882,0.0388,0.0721,0.1346,-0.2616,0.0517
"X5266_13",0,0.0976,0.0988,0.0012,0.1,0.0024,0.0122,0.0241,1,0.0027
"X5294_19",0.0556,0.2062,0.205,-0.0013,0.2037,-0.0025,-0.0062,-0.0124,0.7306,-0.0032
"X5261_7",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X5267_13",0.2265,0.2373,0.2495,0.0122,0.2618,0.0245,0.0491,0.0935,0.0456,0.0321
"X5270_14",0.2857,0.2563,0.3425,0.0861,0.4286,0.1722,0.2515,0.4019,-0.1146,0.2316
"X19019_28",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X5280_41",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5281_33",0.3333,0.463,0.5062,0.0432,0.5494,0.0864,0.0854,0.1573,0.28,0.1609
"X5291_31",0.1471,0.2652,0.3826,0.1174,0.5,0.2348,0.3068,0.4696,0.4455,0.3195
"X5293_11",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0056,0.0112,-0.0113,6e-04
"X19027_27",0.1875,0.1589,0.1732,0.0143,0.1875,0.0286,0.0825,0.1524,-0.1798,0.034
"X5298_8",0.0625,0.0614,0.062,5e-04,0.0625,0.0011,0.0087,0.0172,-0.0175,0.0011
"X5321_9",0.1562,0.1791,0.1989,0.0198,0.2188,0.0396,0.0997,0.1812,0.1276,0.0483
"X5320_25",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X5327_28",0.1556,0.278,0.3001,0.0221,0.3222,0.0442,0.0736,0.1371,0.4405,0.0612
"X5457_20",0.0769,0.0742,0.0755,0.0014,0.0769,0.0028,0.0183,0.0359,-0.0372,0.003
"X5541_36",0.2808,0.3599,0.4973,0.1373,0.6346,0.2747,0.2762,0.4328,0.22,0.4291
"X5544_25",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X5567_36",0.3444,0.3921,0.3836,-0.0086,0.375,-0.0171,-0.0223,-0.0456,0.1215,-0.0281
"X5343_27",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X5361_7",0.2,0.2193,0.2596,0.0404,0.3,0.0807,0.1555,0.2691,0.0879,0.1034
"X5456_19",0.4727,0.5145,0.5027,-0.0118,0.4909,-0.0236,-0.0234,-0.048,0.0812,-0.0486
"X5469_32",0.2875,0.2528,0.2514,-0.0014,0.25,-0.0028,-0.0056,-0.0112,-0.1373,-0.0037
"X5496_23",0.0333,0.0343,0.0338,-5e-04,0.0333,-9e-04,-0.014,-0.0283,0.0275,-0.001
"X5507_40",0.1144,0.1125,0.1102,-0.0023,0.1078,-0.0047,-0.0213,-0.0435,-0.0164,-0.0053
"X5509_6",0.0278,0.0817,0.0825,8e-04,0.0833,0.0017,0.0101,0.0201,0.6598,0.0018
"X5519_25",0.0778,0.0775,0.0763,-0.0013,0.075,-0.0025,-0.0165,-0.0335,-0.0035,-0.0027
"X5520_9",0.3,0.327,0.3468,0.0198,0.3667,0.0397,0.0572,0.1083,0.0825,0.059
"X5526_30",0.0278,0.0285,0.0281,-3e-04,0.0278,-7e-04,-0.012,-0.0242,0.0237,-7e-04
"X5528_18",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X5543_8",0.2944,0.2885,0.2942,0.0058,0.3,0.0115,0.0196,0.0384,-0.0206,0.0162
"X5547_26",0.2,0.1651,0.1825,0.0175,0.2,0.0349,0.0957,0.1747,-0.2117,0.0418
"X5549_16",0.2278,0.2799,0.3427,0.0628,0.4056,0.1256,0.1833,0.3098,0.1863,0.1745
"X5572_39",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X5574_6",0.3571,0.2356,0.2964,0.0608,0.3571,0.1216,0.2051,0.3404,-0.5161,0.159
"X5575_15",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X5584_25",0.4464,0.5287,0.5144,-0.0144,0.5,-0.0287,-0.0279,-0.0575,0.1557,-0.061
"X5334_37",0.1,0.2235,0.2617,0.0383,0.3,0.0765,0.1461,0.255,0.5526,0.0985
"X19034_33",0.1544,0.2989,0.3995,0.1005,0.5,0.2011,0.2517,0.4021,0.4834,0.2868
"X5337_21",0.0278,0.1687,0.1816,0.0129,0.1944,0.0258,0.071,0.1325,0.8353,0.031
"X5339_8",0.1278,0.1215,0.1219,4e-04,0.1222,7e-04,0.003,0.006,-0.0518,8e-04
"X5351_10",0.2,0.1651,0.1825,0.0175,0.2,0.0349,0.0957,0.1747,-0.2117,0.0418
"X5357_26",0.2667,0.517,0.5085,-0.0085,0.5,-0.017,-0.0167,-0.034,0.4842,-0.0352
"X5358_20",0.1562,0.3751,0.5104,0.1354,0.6458,0.2708,0.2652,0.4193,0.5834,0.4333
"X19042_19",0.2625,0.2263,0.2319,0.0056,0.2375,0.0112,0.0241,0.0471,-0.1599,0.0145
"X5369_41",0.1071,0.0996,0.1034,0.0038,0.1071,0.0075,0.0364,0.0703,-0.0756,0.0084
"X5373_15",0.1,0.0936,0.0968,0.0032,0.1,0.0064,0.0329,0.0636,-0.068,0.007
"X5375_12",0,0.0683,0.0675,-8e-04,0.0667,-0.0016,-0.012,-0.0244,1,-0.0017
"X5381_30",0.1333,0.2081,0.2374,0.0293,0.2667,0.0585,0.1233,0.2195,0.3594,0.0739
"X5399_26",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X19046_26",0.1071,0.2001,0.225,0.025,0.25,0.0499,0.111,0.1998,0.4644,0.0624
"X5404_31",0.3176,0.3272,0.3371,0.0099,0.3471,0.0199,0.0295,0.0573,0.0291,0.0296
"X5406_19",0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
"X5409_29",0.2208,0.3546,0.344,-0.0107,0.3333,-0.0213,-0.031,-0.0639,0.3773,-0.033
"X5410_31",0.3176,0.3272,0.3371,0.0099,0.3471,0.0199,0.0295,0.0573,0.0291,0.0296
"X5415_12",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X5416_31",0.3176,0.3272,0.3371,0.0099,0.3471,0.0199,0.0295,0.0573,0.0291,0.0296
"X5419_12",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X5420_31",0.3176,0.3272,0.3371,0.0099,0.3471,0.0199,0.0295,0.0573,0.0291,0.0296
"X19048_25",0.1071,0.2001,0.225,0.025,0.25,0.0499,0.111,0.1998,0.4644,0.0624
"X5422_31",0.3176,0.3272,0.3371,0.0099,0.3471,0.0199,0.0295,0.0573,0.0291,0.0296
"X5433_34",0.1389,0.1238,0.1314,0.0075,0.1389,0.0151,0.0573,0.1084,-0.1216,0.0172
"X5437_23",0.1,0.256,0.328,0.072,0.4,0.144,0.2195,0.3599,0.6094,0.1935
"X5442_21",0.3059,0.3223,0.3406,0.0183,0.3588,0.0365,0.0536,0.1018,0.051,0.0539
"X5450_26",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5449_7",0.1389,0.164,0.1792,0.0152,0.1944,0.0305,0.085,0.1566,0.1531,0.0364
"X5454_25",0.1278,0.1215,0.1219,4e-04,0.1222,7e-04,0.003,0.006,-0.0518,8e-04
"X19057_20",0,0.1261,0.1297,0.0036,0.1333,0.0073,0.028,0.0545,1,0.0083
"X5465_37",0.1429,0.14,0.1363,-0.0037,0.1327,-0.0073,-0.0269,-0.0554,-0.0204,-0.0085
"X5472_32",0,0.073,0.0722,-8e-04,0.0714,-0.0016,-0.0108,-0.0218,1,-0.0017
"X5487_17",0.1144,0.1125,0.1102,-0.0023,0.1078,-0.0047,-0.0213,-0.0435,-0.0164,-0.0053
"X5495_10",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5494_24",0.2778,0.2468,0.429,0.1821,0.6111,0.3643,0.4246,0.5961,-0.1254,0.4837
"X5513_39",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X5593_10",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X5600_16",0.1538,0.1873,0.209,0.0217,0.2308,0.0435,0.104,0.1885,0.1785,0.0535
"X5620_21",0.0833,0.1998,0.2249,0.0251,0.25,0.0502,0.1116,0.2008,0.5829,0.0627
"X19077_39",0.1292,0.2305,0.2298,-6e-04,0.2292,-0.0013,-0.0028,-0.0057,0.4395,-0.0017
"X5611_35",0.0812,0.2341,0.2405,0.0064,0.2469,0.0128,0.0265,0.0517,0.653,0.0167
"X5613_9",0,0.0569,0.0562,-7e-04,0.0556,-0.0013,-0.0119,-0.0241,1,-0.0014
"X5639_34",0.2333,0.2763,0.4923,0.216,0.7083,0.432,0.4388,0.6099,0.1555,0.597
"X5641_33",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X5624_18",0.0556,0.0547,0.0551,4e-04,0.0556,8e-04,0.0076,0.0152,-0.0154,9e-04
"X5626_25",0.0312,0.0921,0.0929,8e-04,0.0938,0.0016,0.0087,0.0172,0.6608,0.0018
"X5630_12",0.1889,0.1732,0.1741,9e-04,0.175,0.0018,0.0051,0.0101,-0.0904,0.0021
"X5633_32",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X5645_10",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X5648_41",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X5653_28",0.1111,0.1459,0.1563,0.0104,0.1667,0.0207,0.0664,0.1245,0.2385,0.0243
"X5663_22",0.1389,0.2443,0.3027,0.0584,0.3611,0.1168,0.1929,0.3234,0.4315,0.1546
"X19096_36",0.1333,0.1297,0.1273,-0.0023,0.125,-0.0047,-0.0183,-0.0373,-0.0283,-0.0054
"X5694_19",0.2292,0.3245,0.3879,0.0635,0.4514,0.1269,0.1636,0.2812,0.2937,0.1879
"X5695_10",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X5697_41",0.1,0.0935,0.0967,0.0033,0.1,0.0065,0.0339,0.0655,-0.0701,0.0072
"X5700_20",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X5704_31",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X5705_38",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X5718_9",0.0667,0.065,0.0659,8e-04,0.0667,0.0016,0.0123,0.0244,-0.025,0.0017
"X5723_14",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0056,0.0112,-0.0113,6e-04
"X5731_28",0.1,0.2584,0.3292,0.0708,0.4,0.1416,0.215,0.3539,0.6131,0.1909
"X19107_26",0.1667,0.2532,0.4321,0.179,0.6111,0.358,0.4142,0.5857,0.3416,0.4793
"X5749_8",0.0312,0.0318,0.0315,-3e-04,0.0312,-5e-04,-0.0085,-0.0172,0.0169,-6e-04
"X5761_14",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5795_21",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X5775_12",0,0.1579,0.1672,0.0093,0.1765,0.0186,0.0556,0.1054,1,0.0221
"X5778_31",0.0938,0.0883,0.091,0.0027,0.0937,0.0054,0.0298,0.0578,-0.0614,0.0059
"X22347_37",0.2222,0.1789,0.4783,0.2995,0.7778,0.5989,0.6261,0.77,-0.2424,0.7294
"X5785_13",0.1111,0.2647,0.3546,0.0899,0.4444,0.1798,0.2535,0.4045,0.5802,0.2445
"X19128_19",0.0588,0.1102,0.1139,0.0037,0.1176,0.0074,0.0326,0.0631,0.4663,0.0083
"X5811_41",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5824_21",0.0882,0.0836,0.0859,0.0023,0.0882,0.0047,0.0271,0.0527,-0.0556,0.0051
"X5872_7",0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
"X5871_19",0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
"X5828_22",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X19133_35",0.0833,0.0809,0.0821,0.0012,0.0833,0.0025,0.0149,0.0294,-0.0303,0.0027
"X5843_32",0.2167,0.1943,0.1971,0.0029,0.2,0.0057,0.0145,0.0287,-0.1153,0.0071
"X5848_28",0.1667,0.2113,0.2445,0.0332,0.2778,0.0665,0.136,0.2394,0.2112,0.0843
"X5849_13",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X5865_7",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X5869_25",0.2222,0.2595,0.4075,0.148,0.5556,0.296,0.3632,0.5329,0.1437,0.3998
"X5878_23",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X5889_18",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5891_31",0.2679,0.4211,0.407,-0.0141,0.3929,-0.0282,-0.0347,-0.0718,0.3639,-0.0487
"X23713_31",0,0.0784,0.0776,-7e-04,0.0769,-0.0015,-0.0093,-0.0189,1,-0.0016
"X5897_41",0.3,0.2476,0.3238,0.0762,0.4,0.1524,0.2353,0.381,-0.2117,0.2026
"X5900_35",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X5909_25",0.1833,0.3462,0.4231,0.0769,0.5,0.1538,0.1818,0.3076,0.4704,0.2353
"X5931_18",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X5935_9",0.1429,0.2165,0.2511,0.0346,0.2857,0.0692,0.1378,0.2422,0.3402,0.0883
"X5937_11",0.1944,0.1822,0.1791,-0.0032,0.1759,-0.0063,-0.0176,-0.0359,-0.067,-0.0077
"X5938_33",0.0333,0.1508,0.1587,0.0079,0.1667,0.0159,0.0499,0.0951,0.779,0.0187
"X6000_32",0.25,0.2497,0.2637,0.0141,0.2778,0.0281,0.0533,0.1012,-0.0013,0.0375
"X5955_17",0.1111,0.1459,0.1563,0.0104,0.1667,0.0207,0.0664,0.1245,0.2385,0.0243
"X5971_27",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X5978_20",0.1278,0.1215,0.1219,4e-04,0.1222,7e-04,0.003,0.006,-0.0518,8e-04
"X5977_40",0.0294,0.0861,0.0872,0.0011,0.0882,0.0021,0.0121,0.024,0.6585,0.0023
"X26154_25",0.2639,0.3685,0.5037,0.1352,0.6389,0.2704,0.2684,0.4232,0.2839,0.4282
"X19159_9",0.1429,0.2174,0.2516,0.0342,0.2857,0.0683,0.1358,0.2391,0.3429,0.0873
"X5985_17",0.0938,0.1399,0.1481,0.0082,0.1562,0.0163,0.0552,0.1046,0.3299,0.019
"X22364_30",0.1071,0.2335,0.2775,0.0439,0.3214,0.0879,0.1584,0.2734,0.5412,0.1147
"X5989_37",0.1667,0.1585,0.5026,0.3441,0.8467,0.6882,0.6847,0.8128,-0.0516,0.8178
"X5990_17",0.05,0.2667,0.3583,0.0917,0.45,0.1833,0.2558,0.4073,0.8125,0.25
"X5956_19",0.2292,0.273,0.2893,0.0163,0.3056,0.0326,0.0563,0.1067,0.1604,0.0448
"X19153_40",0.0625,0.061,0.0618,7e-04,0.0625,0.0015,0.012,0.0238,-0.0244,0.0016
"X5963_9",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X5967_8",0.1833,0.3898,0.506,0.1162,0.6222,0.2324,0.2296,0.3735,0.5297,0.3809
"X6082_6",0.1,0.0935,0.0968,0.0032,0.1,0.0065,0.0334,0.0646,-0.0691,0.0071
"X6119_33",0.0556,0.1048,0.1079,0.0032,0.1111,0.0064,0.0295,0.0572,0.4696,0.0071
"X6121_41",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X6125_22",0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
"X6129_27",0.3958,0.3713,0.4148,0.0435,0.4583,0.087,0.1048,0.1898,-0.066,0.1384
"X19164_29",0.0913,0.0911,0.0892,-0.0019,0.0873,-0.0038,-0.021,-0.043,-0.0024,-0.0041
"X6003_13",0.1181,0.2106,0.2095,-0.0012,0.2083,-0.0023,-0.0055,-0.0111,0.4395,-0.0029
"X6008_7",0.0778,0.0775,0.0763,-0.0013,0.075,-0.0025,-0.0165,-0.0335,-0.0035,-0.0027
"X6009_33",0.3571,0.4414,0.4911,0.0497,0.5408,0.0994,0.1012,0.1838,0.1909,0.1779
"X6015_32",0.1389,0.1975,0.2237,0.0263,0.25,0.0525,0.1174,0.2102,0.2966,0.0655
"X6039_34",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X19172_14",0.0714,0.3443,0.3915,0.0472,0.4388,0.0945,0.1207,0.2153,0.7925,0.1441
"X6057_29",0.0556,0.0546,0.0551,5e-04,0.0556,0.001,0.0091,0.0181,-0.0184,0.0011
"X6064_41",0.1181,0.116,0.1136,-0.0024,0.1111,-0.0049,-0.0216,-0.0441,-0.0176,-0.0055
