locus,Ho,Hs,Ht,Dst,Htp,Dstp,Fst,Fstp,Fis,Dest
5985_17,0.0938,0.1399,0.1481,0.0082,0.1562,0.0163,0.0552,0.1046,0.3299,0.019
11955_30,0.0938,0.1399,0.1481,0.0082,0.1562,0.0163,0.0552,0.1046,0.3299,0.019
20685_26,0.0938,0.1399,0.1481,0.0082,0.1562,0.0163,0.0552,0.1046,0.3299,0.019
10523_22,0.1,0.1493,0.158,0.0087,0.1667,0.0174,0.055,0.1043,0.3302,0.0204
20635_28,0.2049,0.3266,0.3456,0.019,0.3646,0.0379,0.0549,0.1041,0.3728,0.0563
18780_28,0.0556,0.1495,0.1581,0.0086,0.1667,0.0172,0.0545,0.1033,0.6283,0.0202
14716_34,0.0556,0.1495,0.1581,0.0086,0.1667,0.0172,0.0545,0.1033,0.6283,0.0202
150_18,0.1429,0.1282,0.1355,0.0073,0.1429,0.0147,0.0542,0.1028,-0.1146,0.0168
5442_21,0.3059,0.3223,0.3406,0.0183,0.3588,0.0365,0.0536,0.1018,0.051,0.0539
17678_14,0.3059,0.3223,0.3406,0.0183,0.3588,0.0365,0.0536,0.1018,0.051,0.0539
6000_32,0.25,0.2497,0.2637,0.0141,0.2778,0.0281,0.0533,0.1012,-0.0013,0.0375
9816_28,0.25,0.2497,0.2637,0.0141,0.2778,0.0281,0.0533,0.1012,-0.0013,0.0375
4798_37,0.3423,0.4707,0.4969,0.0262,0.5231,0.0523,0.0527,0.1,0.2728,0.0989
4471_10,0.0357,0.1607,0.1696,0.0089,0.1786,0.0179,0.0526,0.1,0.7778,0.0213
9175_6,0.1429,0.1286,0.1357,0.0071,0.1429,0.0143,0.0526,0.1,-0.1111,0.0164
14684_14,0.1333,0.12,0.1267,0.0067,0.1333,0.0133,0.0526,0.1,-0.1111,0.0152
17556_33,0.1333,0.12,0.1267,0.0067,0.1333,0.0133,0.0526,0.1,-0.1111,0.0152
18092_33,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
18423_27,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
3649_30,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
3891_23,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
5513_39,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
5705_38,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
5871_19,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
6460_33,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
9516_8,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
10035_27,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
10576_8,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
12786_41,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
13146_16,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
13932_11,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
14470_29,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
14389_16,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
14712_36,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
15844_7,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
15984_12,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
17467_13,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
17536_17,0.0882,0.1324,0.1398,0.0073,0.1471,0.0146,0.0523,0.0994,0.3338,0.0168
3275_13,0.3765,0.4508,0.4754,0.0246,0.5,0.0492,0.0518,0.0984,0.1648,0.0896
13904_18,0.2562,0.4339,0.4576,0.0237,0.4812,0.0474,0.0518,0.0985,0.4094,0.0837
20073_30,0.3034,0.3431,0.3617,0.0186,0.3803,0.0373,0.0515,0.0979,0.1156,0.0567
21045_19,0.1364,0.123,0.1297,0.0067,0.1364,0.0134,0.0515,0.098,-0.1086,0.0152
17842_23,0.1364,0.123,0.1297,0.0067,0.1364,0.0134,0.0515,0.098,-0.1086,0.0152
7109_10,0.4,0.485,0.5113,0.0262,0.5375,0.0525,0.0513,0.0976,0.1753,0.1019
13634_10,0.1333,0.1203,0.1268,0.0065,0.1333,0.013,0.0513,0.0976,-0.1081,0.0148
12195_8,0.2278,0.3009,0.3171,0.0162,0.3333,0.0324,0.0511,0.0972,0.2431,0.0463
9331_33,0.4667,0.4815,0.5074,0.0259,0.5333,0.0518,0.051,0.0971,0.0309,0.0999
10479_41,0.3125,0.254,0.2676,0.0136,0.2812,0.0272,0.0508,0.0967,-0.2301,0.0365
21641_31,0.0769,0.1391,0.1465,0.0074,0.1538,0.0148,0.0504,0.096,0.4469,0.0172
18901_13,0.0882,0.133,0.14,0.007,0.1471,0.0141,0.0503,0.0957,0.3365,0.0162
7619_41,0.0882,0.133,0.14,0.007,0.1471,0.0141,0.0503,0.0957,0.3365,0.0162
5938_33,0.0333,0.1508,0.1587,0.0079,0.1667,0.0159,0.0499,0.0951,0.779,0.0187
12405_33,0.0333,0.1508,0.1587,0.0079,0.1667,0.0159,0.0499,0.0951,0.779,0.0187
16568_33,0.0333,0.1508,0.1587,0.0079,0.1667,0.0159,0.0499,0.0951,0.779,0.0187
21428_38,0.0556,0.1509,0.1588,0.0079,0.1667,0.0158,0.0498,0.0949,0.6317,0.0186
899_25,0.2056,0.2515,0.2647,0.0131,0.2778,0.0262,0.0496,0.0945,0.1828,0.0351
6167_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6168_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6169_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6170_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6171_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6172_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6173_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6174_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6175_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
6177_30,0.1333,0.1207,0.127,0.0063,0.1333,0.0126,0.0496,0.0945,-0.1043,0.0143
11749_38,0.369,0.291,0.3062,0.0152,0.3214,0.0304,0.0496,0.0946,-0.268,0.0429
16770_23,0.1438,0.2634,0.2771,0.0137,0.2908,0.0275,0.0496,0.0945,0.454,0.0373
3247_21,0.0938,0.1416,0.1489,0.0073,0.1562,0.0147,0.0493,0.094,0.3377,0.0171
5267_13,0.2265,0.2373,0.2495,0.0122,0.2618,0.0245,0.0491,0.0935,0.0456,0.0321
6898_31,0.2111,0.3324,0.3495,0.0171,0.3667,0.0343,0.049,0.0935,0.3649,0.0513
6278_9,0.05,0.1361,0.1431,0.0069,0.15,0.0139,0.0484,0.0924,0.6327,0.016
10674_29,0.05,0.1361,0.1431,0.0069,0.15,0.0139,0.0484,0.0924,0.6327,0.016
12098_25,0.05,0.1361,0.1431,0.0069,0.15,0.0139,0.0484,0.0924,0.6327,0.016
13973_10,0.05,0.1361,0.1431,0.0069,0.15,0.0139,0.0484,0.0924,0.6327,0.016
16155_32,0.05,0.1361,0.1431,0.0069,0.15,0.0139,0.0484,0.0924,0.6327,0.016
17139_35,0.05,0.1361,0.1431,0.0069,0.15,0.0139,0.0484,0.0924,0.6327,0.016
3265_37,0.3431,0.4539,0.477,0.023,0.5,0.0461,0.0483,0.0922,0.2441,0.0844
1063_17,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
2447_17,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
3391_17,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
3547_31,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
4721_23,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
5872_7,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
6125_22,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
13889_18,0.125,0.1135,0.1193,0.0057,0.125,0.0115,0.0481,0.0918,-0.1011,0.0129
1940_38,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
2596_40,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
2788_16,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
2924_29,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
3715_11,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
4394_37,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
6320_24,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
6991_37,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
8284_39,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
9682_15,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
10937_33,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
11924_14,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
13483_22,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
14553_36,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
14915_27,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
16138_40,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
16229_26,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
16918_21,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
17751_25,0.0833,0.1262,0.1325,0.0064,0.1389,0.0127,0.048,0.0916,0.3395,0.0146
4441_35,0.1339,0.284,0.2982,0.0143,0.3125,0.0285,0.0478,0.0912,0.5284,0.0398
1071_30,0.05,0.1363,0.1432,0.0068,0.15,0.0137,0.0477,0.0911,0.6333,0.0158
16887_24,0.05,0.1363,0.1432,0.0068,0.15,0.0137,0.0477,0.0911,0.6333,0.0158
18103_23,0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
3016_26,0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
18967_34,0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
18968_34,0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
9283_24,0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
21717_15,0.0312,0.1421,0.1492,0.0071,0.1562,0.0141,0.0474,0.0905,0.7801,0.0165
279_18,0.0625,0.1706,0.1791,0.0084,0.1875,0.0169,0.0471,0.0899,0.6337,0.0203
9278_19,0.125,0.1138,0.1194,0.0056,0.125,0.0112,0.0468,0.0894,-0.0981,0.0126
12201_26,0.125,0.1138,0.1194,0.0056,0.125,0.0112,0.0468,0.0894,-0.0981,0.0126
14968_40,0.125,0.1138,0.1194,0.0056,0.125,0.0112,0.0468,0.0894,-0.0981,0.0126
10317_19,0.2463,0.4186,0.4391,0.0205,0.4596,0.041,0.0467,0.0892,0.4115,0.0705
17891_33,0.1278,0.1974,0.207,0.0096,0.2167,0.0193,0.0466,0.089,0.3527,0.024
9953_30,0.2875,0.3191,0.3345,0.0155,0.35,0.0309,0.0462,0.0883,0.099,0.0454
17094_24,0.2088,0.2548,0.2671,0.0123,0.2794,0.0246,0.0461,0.0881,0.1805,0.033
202_29,0.0278,0.2168,0.2272,0.0105,0.2377,0.0209,0.046,0.088,0.8718,0.0267
13633_16,0.2167,0.2371,0.2486,0.0114,0.26,0.0229,0.046,0.088,0.0863,0.03
2716_32,0.125,0.114,0.1195,0.0055,0.125,0.011,0.0459,0.0878,-0.0962,0.0124
5001_31,0.125,0.114,0.1195,0.0055,0.125,0.011,0.0459,0.0878,-0.0962,0.0124
15498_25,0.125,0.114,0.1195,0.0055,0.125,0.011,0.0459,0.0878,-0.0962,0.0124
18337_25,0.125,0.1141,0.1196,0.0054,0.125,0.0109,0.0456,0.0872,-0.0955,0.0123
6495_7,0.125,0.1141,0.1196,0.0054,0.125,0.0109,0.0456,0.0872,-0.0955,0.0123
16344_34,0.125,0.1141,0.1196,0.0054,0.125,0.0109,0.0456,0.0872,-0.0955,0.0123
19997_9,0.125,0.1141,0.1196,0.0054,0.125,0.0109,0.0455,0.087,-0.0953,0.0123
17794_15,0.125,0.1141,0.1196,0.0054,0.125,0.0109,0.0455,0.087,-0.0953,0.0123
13429_38,0.3304,0.4812,0.504,0.0228,0.5268,0.0456,0.0452,0.0865,0.3135,0.0878
17860_25,0.3143,0.4828,0.5057,0.0229,0.5286,0.0458,0.0452,0.0866,0.3491,0.0885
9725_8,0.2674,0.479,0.5017,0.0226,0.5243,0.0453,0.0451,0.0863,0.4419,0.0869
6888_32,0.125,0.1142,0.1196,0.0054,0.125,0.0108,0.045,0.0862,-0.0943,0.0122
17987_16,0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
4626_28,0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
8300_32,0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
11805_28,0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
13269_20,0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
21246_36,0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
17030_7,0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
14029_19,0.0312,0.1429,0.1496,0.0067,0.1562,0.0134,0.0447,0.0856,0.7813,0.0156
9306_38,0.125,0.1143,0.1197,0.0053,0.125,0.0107,0.0445,0.0853,-0.0932,0.012
1365_22,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
2663_22,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
3120_19,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
3788_16,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
4449_18,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
5406_19,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
6268_12,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
6464_39,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
19455_17,0.1294,0.1992,0.2084,0.0092,0.2176,0.0184,0.0442,0.0846,0.3504,0.023
7574_20,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
8016_17,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
10519_24,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
10759_23,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
10782_37,0.1294,0.1992,0.2084,0.0092,0.2176,0.0184,0.0442,0.0846,0.3504,0.023
11163_36,0.125,0.1144,0.1197,0.0053,0.125,0.0106,0.0442,0.0846,-0.0924,0.0119
12319_22,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
12817_27,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
13683_35,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
13735_35,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
13926_39,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
14033_16,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
14895_27,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
14957_13,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
16093_29,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
16667_37,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
16757_35,0.1176,0.1077,0.1127,0.005,0.1176,0.01,0.0442,0.0847,-0.0925,0.0112
16065_31,0,0.1616,0.169,0.0074,0.1765,0.0148,0.0439,0.0841,1,0.0177
20675_12,0.05,0.1374,0.1437,0.0063,0.15,0.0126,0.0437,0.0837,0.6362,0.0146
13741_11,0.05,0.1374,0.1437,0.0063,0.15,0.0126,0.0437,0.0837,0.6362,0.0146
2644_30,0.0833,0.1273,0.1331,0.0058,0.1389,0.0116,0.0434,0.0832,0.3455,0.0132
3260_28,0.0294,0.2187,0.2286,0.0099,0.2386,0.0198,0.0434,0.0832,0.8655,0.0254
64_29,0.125,0.1146,0.1198,0.0052,0.125,0.0104,0.0432,0.0829,-0.0904,0.0117
16508_30,0,0.1834,0.1917,0.0083,0.2,0.0166,0.0432,0.0828,1,0.0203
3586_8,0.1471,0.1349,0.141,0.0061,0.1471,0.0121,0.0431,0.0826,-0.09,0.014
14498_22,0,0.1529,0.1598,0.0069,0.1667,0.0138,0.0431,0.0826,1,0.0162
2031_8,0.1176,0.108,0.1128,0.0048,0.1176,0.0097,0.0428,0.0821,-0.0895,0.0108
3555_21,0.0294,0.135,0.141,0.006,0.1471,0.0121,0.0428,0.0821,0.7821,0.014
3606_39,0.1176,0.108,0.1128,0.0048,0.1176,0.0097,0.0428,0.0821,-0.0895,0.0108
7079_29,0.0294,0.135,0.141,0.006,0.1471,0.0121,0.0428,0.0821,0.7821,0.014
7265_22,0.0294,0.135,0.141,0.006,0.1471,0.0121,0.0428,0.0821,0.7821,0.014
7967_22,0.0294,0.135,0.141,0.006,0.1471,0.0121,0.0428,0.0821,0.7821,0.014
9632_27,0.1176,0.108,0.1128,0.0048,0.1176,0.0097,0.0428,0.0821,-0.0895,0.0108
12561_12,0.1176,0.108,0.1128,0.0048,0.1176,0.0097,0.0428,0.0821,-0.0895,0.0108
13078_10,0.0294,0.135,0.141,0.006,0.1471,0.0121,0.0428,0.0821,0.7821,0.014
19862_21,0.0714,0.1312,0.137,0.0058,0.1429,0.0117,0.0427,0.0819,0.4554,0.0135
11672_15,0.0714,0.1312,0.137,0.0058,0.1429,0.0117,0.0427,0.0819,0.4554,0.0135
12984_10,0.0714,0.1312,0.137,0.0058,0.1429,0.0117,0.0427,0.0819,0.4554,0.0135
3433_22,0.3889,0.36,0.3758,0.0158,0.3917,0.0317,0.0422,0.0809,-0.0803,0.0495
6072_19,0.2167,0.2298,0.2399,0.0101,0.25,0.0202,0.0421,0.0809,0.0571,0.0262
15208_16,0.4111,0.4733,0.4941,0.0208,0.5148,0.0415,0.042,0.0806,0.1314,0.0788
919_7,0.0312,0.1439,0.1501,0.0062,0.1563,0.0124,0.0413,0.0793,0.7828,0.0145
2305_20,0.2312,0.3108,0.3242,0.0133,0.3375,0.0267,0.0412,0.0791,0.256,0.0387
13763_21,0.3353,0.3088,0.3221,0.0132,0.3353,0.0265,0.0411,0.0789,-0.0857,0.0383
14559_27,0.2778,0.2332,0.2431,0.01,0.2531,0.0199,0.041,0.0787,-0.1913,0.026
365_34,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
789_40,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
1244_23,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
1705_7,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
2105_26,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
2252_24,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
2697_35,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
3096_35,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
3359_22,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
3599_13,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
3824_37,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
4011_16,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
4323_35,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
7476_9,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
7550_21,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
8886_7,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
9034_21,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
9389_15,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
9987_13,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
10340_40,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
10977_26,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
11033_41,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
11330_24,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
11759_24,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
12113_35,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
12878_20,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
14253_37,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
14443_27,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
14629_28,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
15239_17,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
15499_34,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
15441_33,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
15608_12,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
15876_21,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
16075_17,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
16154_30,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
16408_19,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
16462_31,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
16702_13,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
17286_36,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
17426_12,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
17471_41,0.1111,0.1024,0.1068,0.0044,0.1111,0.0087,0.0408,0.0783,-0.085,0.0097
18123_37,0.1154,0.1064,0.1109,0.0045,0.1154,0.009,0.0406,0.0781,-0.0847,0.0101
2092_24,0.1154,0.1064,0.1109,0.0045,0.1154,0.009,0.0406,0.0781,-0.0847,0.0101
21540_37,0.1154,0.1064,0.1109,0.0045,0.1154,0.009,0.0406,0.0781,-0.0847,0.0101
4040_17,0.2667,0.3996,0.4165,0.0169,0.4333,0.0337,0.0405,0.0778,0.3327,0.0562
4258_16,0.3111,0.4921,0.5127,0.0206,0.5333,0.0412,0.0402,0.0772,0.3678,0.0811
6798_6,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
6800_6,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
7035_29,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
10896_20,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
11577_33,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
13698_28,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
15626_15,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
17574_12,0.0667,0.123,0.1282,0.0052,0.1333,0.0103,0.0402,0.0773,0.4581,0.0117
7243_33,0.0294,0.1357,0.1414,0.0057,0.1471,0.0113,0.0401,0.0771,0.7833,0.0131
11052_9,0.0294,0.1357,0.1414,0.0057,0.1471,0.0113,0.0401,0.0771,0.7833,0.0131
17606_29,0.0294,0.1357,0.1414,0.0057,0.1471,0.0113,0.0401,0.0771,0.7833,0.0131
